"ID","Species(miRNA)","Species(Target)","miRNA","Target","Reporter assay","Western blot","qPCR","Microarray","NGS","pSILAC","Other","CLIP-Seq","Sum","Number of paper"
"MIRT740025","hsa","hsa","hsa-miR-654-5p","NHEDC2","0","0","0","0","0","0","0","1","1","1"
"MIRT740073","hsa","hsa","hsa-miR-654-5p","BAIAP2L1","0","0","0","0","0","0","0","1","1","1"
"MIRT740492","hsa","hsa","hsa-miR-654-5p","LL22NC03-63E9.3","0","0","0","0","0","0","0","1","1","1"
"MIRT716794","hsa","hsa","hsa-miR-654-5p","","0","0","0","0","1","0","0","0","1","2"
"MIRT462180","hsa","hsa","hsa-miR-654-5p","ACADL","0","0","0","0","1","0","0","1","2","3"
"MIRT541493","hsa","hsa","hsa-miR-654-5p","ADM","0","0","0","0","1","0","0","1","2","3"
"MIRT484746","hsa","hsa","hsa-miR-654-5p","ABCC6","0","0","0","0","1","0","0","1","2","5"
"MIRT735035","hsa","hsa","hsa-miR-654-5p","BMP2","1","1","1","1","0","0","0","0","4","1"
"MIRT704893","hsa","hsa","hsa-miR-654-5p","CCNB1","0","0","0","0","1","0","0","1","2","3"
"MIRT658600","hsa","hsa","hsa-miR-654-5p","ENTPD5","0","0","0","0","1","0","0","1","2","3"
"MIRT459096","hsa","hsa","hsa-miR-654-5p","CYP4A11","0","0","0","0","1","0","0","1","2","3"
"MIRT477644","hsa","hsa","hsa-miR-654-5p","EFNA1","0","0","0","0","1","0","0","1","2","3"
"MIRT379657","hsa","hsa","hsa-miR-654-5p","GDI1","0","0","0","0","1","0","0","1","2","5"
"MIRT489833","hsa","hsa","hsa-miR-654-5p","HCFC1","0","0","0","0","1","0","0","1","2","3"
"MIRT716686","hsa","hsa","hsa-miR-654-5p","HLA-B","0","0","0","0","1","0","0","1","2","3"
"MIRT502225","hsa","hsa","hsa-miR-654-5p","HOXC6","0","0","0","0","1","0","0","1","2","3"
"MIRT635892","hsa","hsa","hsa-miR-654-5p","SP110","0","0","0","0","1","0","0","1","2","3"
"MIRT452368","hsa","hsa","hsa-miR-654-5p","LY6E","0","0","0","0","1","0","0","1","2","5"
"MIRT473362","hsa","hsa","hsa-miR-654-5p","MEF2D","0","0","0","0","1","0","0","1","2","3"
"MIRT734259","hsa","hsa","hsa-miR-654-5p","MIF","1","1","1","0","0","0","0","0","3","1"
"MIRT511104","hsa","hsa","hsa-miR-654-5p","NFIB","0","0","0","0","1","0","0","1","2","5"
"MIRT492894","hsa","hsa","hsa-miR-654-5p","NFIC","0","0","0","0","1","0","0","1","2","3"
"MIRT488749","hsa","hsa","hsa-miR-654-5p","FXYD1","0","0","0","0","1","0","0","1","2","3"
"MIRT489153","hsa","hsa","hsa-miR-654-5p","MRPL12","0","0","0","0","1","0","0","1","2","5"
"MIRT490717","hsa","hsa","hsa-miR-654-5p","SLC9A3","0","0","0","0","1","0","0","1","2","3"
"MIRT513349","hsa","hsa","hsa-miR-654-5p","SLIT1","0","0","0","0","1","0","0","1","2","3"
"MIRT462685","hsa","hsa","hsa-miR-654-5p","SNRPD3","0","0","0","0","1","0","0","1","2","3"
"MIRT492180","hsa","hsa","hsa-miR-654-5p","SOX12","0","0","0","0","1","0","0","1","2","3"
"MIRT698648","hsa","hsa","hsa-miR-654-5p","TERF2","0","0","0","0","1","0","0","1","2","3"
"MIRT634133","hsa","hsa","hsa-miR-654-5p","YWHAZ","0","0","0","0","1","0","0","1","2","3"
"MIRT462764","hsa","hsa","hsa-miR-654-5p","ZNF8","0","0","0","0","1","0","0","1","2","3"
"MIRT480706","hsa","hsa","hsa-miR-654-5p","BRPF1","0","0","0","0","1","0","0","1","2","3"
"MIRT702127","hsa","hsa","hsa-miR-654-5p","MAPKAPK5","0","0","0","0","1","0","0","1","2","3"
"MIRT521142","hsa","hsa","hsa-miR-654-5p","SGPL1","0","0","0","0","1","0","0","1","2","5"
"MIRT500516","hsa","hsa","hsa-miR-654-5p","ZBTB22","0","0","0","0","1","0","0","1","2","5"
"MIRT468126","hsa","hsa","hsa-miR-654-5p","SH3PXD2A","0","0","0","0","1","0","0","1","2","3"
"MIRT692147","hsa","hsa","hsa-miR-654-5p","CEP104","0","0","0","0","1","0","0","1","2","3"
"MIRT465082","hsa","hsa","hsa-miR-654-5p","TSPAN3","0","0","0","0","1","0","0","1","2","3"
"MIRT463377","hsa","hsa","hsa-miR-654-5p","ZER1","0","0","0","0","1","0","0","1","2","3"
"MIRT607634","hsa","hsa","hsa-miR-654-5p","TRIOBP","0","0","0","0","1","0","0","1","2","3"
"MIRT697298","hsa","hsa","hsa-miR-654-5p","ZNF652","0","0","0","0","1","0","0","1","2","3"
"MIRT467308","hsa","hsa","hsa-miR-654-5p","SPG20","0","0","0","0","1","0","0","1","2","3"
"MIRT665181","hsa","hsa","hsa-miR-654-5p","HAUS5","0","0","0","0","1","0","0","1","2","3"
"MIRT518438","hsa","hsa","hsa-miR-654-5p","VPS8","0","0","0","0","1","0","0","1","2","3"
"MIRT718102","hsa","hsa","hsa-miR-654-5p","CRTC1","0","0","0","0","1","0","0","1","2","3"
"MIRT468335","hsa","hsa","hsa-miR-654-5p","SF3B3","0","0","0","0","1","0","0","1","2","3"
"MIRT652328","hsa","hsa","hsa-miR-654-5p","TNFAIP8","0","0","0","0","1","0","0","1","2","3"
"MIRT513297","hsa","hsa","hsa-miR-654-5p","SETBP1","0","0","0","0","1","0","0","1","2","3"
"MIRT471114","hsa","hsa","hsa-miR-654-5p","PHF19","0","0","0","0","1","0","0","1","2","3"
"MIRT559894","hsa","hsa","hsa-miR-654-5p","CNNM4","0","0","0","0","1","0","0","1","2","3"
"MIRT481002","hsa","hsa","hsa-miR-654-5p","BBC3","0","0","0","0","1","0","0","1","2","5"
"MIRT482335","hsa","hsa","hsa-miR-654-5p","AGO2","0","0","0","0","1","0","0","1","2","3"
"MIRT678179","hsa","hsa","hsa-miR-654-5p","CRCP","0","0","0","0","1","0","0","1","2","3"
"MIRT546222","hsa","hsa","hsa-miR-654-5p","TNRC18P2","0","0","0","0","1","0","0","1","2","5"
"MIRT075901","hsa","hsa","hsa-miR-654-5p","C16ORF72","0","0","0","0","1","0","0","1","2","7"
"MIRT645642","hsa","hsa","hsa-miR-654-5p","MRPS16","0","0","0","0","1","0","0","1","2","3"
"MIRT481751","hsa","hsa","hsa-miR-654-5p","APH1A","0","0","0","0","1","0","0","1","2","3"
"MIRT117861","hsa","hsa","hsa-miR-654-5p","ZBTB7A","0","0","0","0","1","0","0","1","2","5"
"MIRT660664","hsa","hsa","hsa-miR-654-5p","ANKFY1","0","0","0","0","1","0","0","1","2","3"
"MIRT569716","hsa","hsa","hsa-miR-654-5p","GPR173","0","0","0","0","1","0","0","1","2","3"
"MIRT465248","hsa","hsa","hsa-miR-654-5p","TRIM44","0","0","0","0","1","0","0","1","2","3"
"MIRT499357","hsa","hsa","hsa-miR-654-5p","RFWD3","0","0","0","0","1","0","0","1","2","3"
"MIRT666251","hsa","hsa","hsa-miR-654-5p","SLC38A7","0","0","0","0","1","0","0","1","2","3"
"MIRT469143","hsa","hsa","hsa-miR-654-5p","RNF121","0","0","0","0","1","0","0","1","2","3"
"MIRT518935","hsa","hsa","hsa-miR-654-5p","LSG1","0","0","0","0","1","0","0","1","2","3"
"MIRT491044","hsa","hsa","hsa-miR-654-5p","CHST12","0","0","0","0","1","0","0","1","2","3"
"MIRT719372","hsa","hsa","hsa-miR-654-5p","FEM1A","0","0","0","0","1","0","0","1","2","3"
"MIRT640613","hsa","hsa","hsa-miR-654-5p","MIOX","0","0","0","0","1","0","0","1","2","3"
"MIRT697116","hsa","hsa","hsa-miR-654-5p","OTUD5","0","0","0","0","1","0","0","1","2","3"
"MIRT661478","hsa","hsa","hsa-miR-654-5p","CHMP1B","0","0","0","0","1","0","0","1","2","3"
"MIRT502360","hsa","hsa","hsa-miR-654-5p","GIGYF1","0","0","0","0","1","0","0","1","2","9"
"MIRT499627","hsa","hsa","hsa-miR-654-5p","CREB3L2","0","0","0","0","1","0","0","1","2","3"
"MIRT485255","hsa","hsa","hsa-miR-654-5p","PLEKHA3","0","0","0","0","1","0","0","1","2","3"
"MIRT693096","hsa","hsa","hsa-miR-654-5p","SCNM1","0","0","0","0","1","0","0","1","2","3"
"MIRT454133","hsa","hsa","hsa-miR-654-5p","FOXRED2","0","0","0","0","1","0","0","1","2","3"
"MIRT522053","hsa","hsa","hsa-miR-654-5p","ORAI2","0","0","0","0","1","0","0","1","2","3"
"MIRT715902","hsa","hsa","hsa-miR-654-5p","MFRP","0","0","0","0","1","0","0","1","2","3"
"MIRT663995","hsa","hsa","hsa-miR-654-5p","WDR75","0","0","0","0","1","0","0","1","2","3"
"MIRT665322","hsa","hsa","hsa-miR-654-5p","YIPF4","0","0","0","0","1","0","0","1","2","3"
"MIRT452784","hsa","hsa","hsa-miR-654-5p","FAM136A","0","0","0","0","1","0","0","1","2","3"
"MIRT679611","hsa","hsa","hsa-miR-654-5p","RRP36","0","0","0","0","1","0","0","1","2","3"
"MIRT634698","hsa","hsa","hsa-miR-654-5p","DSEL","0","0","0","0","1","0","0","1","2","3"
"MIRT473305","hsa","hsa","hsa-miR-654-5p","MEX3A","0","0","0","0","1","0","0","1","2","3"
"MIRT460134","hsa","hsa","hsa-miR-654-5p","ASB16","0","0","0","0","1","0","0","1","2","3"
"MIRT519985","hsa","hsa","hsa-miR-654-5p","ZBTB47","0","0","0","0","1","0","0","1","2","7"
"MIRT482940","hsa","hsa","hsa-miR-654-5p","ZNF561","0","0","0","0","1","0","0","1","2","7"
"MIRT519907","hsa","hsa","hsa-miR-654-5p","ZFAND4","0","0","0","0","1","0","0","1","2","3"
"MIRT538637","hsa","hsa","hsa-miR-654-5p","CCSAP","0","0","0","0","1","0","0","1","2","3"
"MIRT608042","hsa","hsa","hsa-miR-654-5p","UBLCP1","0","0","0","0","1","0","0","1","2","3"
"MIRT486139","hsa","hsa","hsa-miR-654-5p","SIX5","0","0","0","0","1","0","0","1","2","7"
"MIRT702043","hsa","hsa","hsa-miR-654-5p","METTL21A","0","0","0","0","1","0","0","1","2","3"
"MIRT636703","hsa","hsa","hsa-miR-654-5p","ARSK","0","0","0","0","1","0","0","1","2","3"
